;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
03. Retiro;031. Pacífico;3.938,30;0;3.932,71;121,86;0;121,69;100;0;99,86;4.269,03;0;4.275,14;126,84;0;123,09;100;0;100,14;4.113,30;0;4.117,88;118,14;0;115,28;100;0;100,11;4.172,72;0;4.172,72;114,59;0;114,36;100;0;100;4.390,07;0;4.426,70;112,55;0;111,61;100;0;100,83;4.756,30;0;4.760,98;117,14;0;116,79;100;0;100,1;5.105,60;0;5.084,24;112,79;0;111,88;100;0;99,58
03. Retiro;032. Adelfas;3.807,30;0;3.795,86;117,81;0;117,45;100;0;99,7;4.540,71;4.185,33;4.729,86;134,91;143,65;136,18;100;92,17;104,17;4.258,40;0;4.272,23;122,31;0;119,6;100;0;100,32;4.465,68;0;4.442,03;122,63;0;121,74;100;0;99,47;4.381,49;0;4.366,89;112,33;0;110,11;100;0;99,67;4.412,55;0;4.412,55;108,67;0;108,24;100;0;100;4.851,81;0;4.796,94;107,18;0;105,56;100;0;98,87
03. Retiro;033. Estrella;3.721,52;0;3.721,52;115,15;0;115,15;100;0;100;4.076,81;0;4.076,81;121,13;0;117,38;100;0;100;4.010,22;0;4.010,22;115,18;0;112,27;100;0;100;4.008,15;0;4.008,15;110,07;0;109,85;100;0;100;4.760,98;0;4.760,98;122,06;0;120,04;100;0;100;4.446,83;0;4.443,46;109,52;0;109;100;0;99,92;5.225,07;0;5.202,67;115,43;0;114,49;100;0;99,57
03. Retiro;034. Ibiza;5.001,62;3.893,60;5.114,85;154,76;120,48;158,26;100;77,85;102,26;5.469,24;0;5.469,24;162,5;0;157,47;100;0;100;5.508,11;0;5.460,11;158,21;0;152,86;100;0;99,13;5.556,97;0;5.563,91;152,6;0;152,49;100;0;100,12;6.060,71;0;6.058,41;155,39;0;152,75;100;0;99,96;6.694,29;0;6.694,29;164,87;0;164,21;100;0;100;7.528,50;0;7.527,93;166,31;0;165,66;100;0;99,99
03. Retiro;035. Los Jerónimos;6.004,08;0;6.004,08;185,78;0;185,78;100;0;100;6.715,19;0;6.715,19;199,52;0;193,34;100;0;100;6.653,21;0;6.653,21;191,1;0;186,26;100;0;100;6.623,76;0;6.623,76;181,89;0;181,54;100;0;100;7.904,28;0;7.904,28;202,65;0;199,3;100;0;100;7.785,27;0;7.785,27;191,74;0;190,98;100;0;100;9.382,20;0;9.382,20;207,27;0;206,46;100;0;100
03. Retiro;036. Niño Jesús;4.922,28;0;4.922,28;152,3;0;152,3;100;0;100;5.524,82;0;5.524,82;164,15;0;159,07;100;0;100;5.080,49;0;5.080,49;145,92;0;142,23;100;0;100;5.415,86;0;5.415,86;148,72;0;148,43;100;0;100;5.894,47;0;5.894,47;151,12;0;148,62;100;0;100;5.875,44;0;5.875,44;144,7;0;144,13;100;0;100;6.534,45;0;6.534,45;144,35;0;143,8;100;0;100
04. Salamanca;04. Salamanca;5.400,24;5.674,82;5.398,93;167,09;175,59;167,05;100;105,08;99,98;5.857,87;8.797,76;5.740,36;174,05;301,96;165,27;100;150,19;97,99;5.511,90;6.073,42;5.478,56;158,31;191,2;153,37;100;110,19;99,4;5.737,17;7.041,06;5.646,55;157,55;194,95;154,75;100;122,73;98,42;6.496,29;7.229,34;6.462,96;166,55;203,74;162,95;100;111,28;99,49;7.332,40;6.445,97;7.375,47;180,58;162,07;180,92;100;87,91;100,59;7.749,88;7.063,08;7.764,63;171,21;158,99;170,87;100;91,14;100,19
04. Salamanca;041. Recoletos;7.555,48;0;7.522,17;233,78;0;232,75;100;0;99,56;8.553,75;0;8.553,75;254,15;0;246,27;100;0;100;8.254,50;0;8.257,73;237,09;0;231,18;100;0;100,04;8.348,93;10.105,74;8.142,25;229,27;279,8;223,15;100;121,04;97,52;10.436,44;0;10.241,25;267,57;0;258,22;100;0;98,13;11.905,33;0;11.856,01;293,21;0;290,83;100;0;99,59;12.389,95;0;12.398,17;273,71;0;272,83;100;0;100,07
04. Salamanca;042. Goya;5.569,25;0;5.569,25;172,32;0;172,32;100;0;100;5.895,89;0;5.879,90;175,18;0;169,29;100;0;99,73;5.587,62;0;5.587,62;160,49;0;156,43;100;0;100;5.994,11;0;5.906,87;164,6;0;161,89;100;0;98,54;6.682,47;8.314,04;6.594,37;171,33;234,31;166,27;100;124,42;98,68;7.497,63;0;7.492,21;184,65;0;183,79;100;0;99,93;7.581,47;0;7.586,64;167,48;0;166,95;100;0;100,07
04. Salamanca;043. Fuente del Berro;4.724,50;0;4.724,50;146,19;0;146,19;100;0;100;4.797,72;0;4.797,72;142,55;0;138,13;100;0;100;4.734,29;0;4.734,29;135,98;0;132,54;100;0;100;5.028,14;0;5.003,64;138,08;0;137,13;100;0;99,51;5.330,23;0;5.331,44;136,66;0;134,42;100;0;100,02;5.701,33;0;5.701,06;140,41;0;139,85;100;0;100;5.975,19;0;5.923,79;132;0;130,36;100;0;99,14
04. Salamanca;044. Guindalera;4.075,49;0;4.078,31;126,1;0;126,19;100;0;100,07;4.573,78;4.636,36;4.570,75;135,9;159,13;131,6;100;101,37;99,93;4.669,41;5.155,97;4.597,02;134,12;162,32;128,7;100;110,42;98,45;4.568,96;6.125,54;4.353,06;125,47;169,6;119,3;100;134,07;95,27;4.823,96;4.338,06;4.867,19;123,68;122,25;122,72;100;89,93;100,9;5.305,78;5.329,90;5.302,14;130,67;134,01;130,06;100;100,45;99,93;5.657,40;6.349,46;5.620,33;124,98;142,92;123,68;100;112,23;99,34
04. Salamanca;045. Lista;5.511,50;0;5.504,62;170,54;0;170,32;100;0;99,88;6.030,55;0;5.934,33;179,18;0;170,86;100;0;98,4;6.095,97;0;6.064,18;175,09;0;169,77;100;0;99,48;5.691,87;0;5.693,35;156,3;0;156,04;100;0;100,03;6.229,51;0;6.229,63;159,71;0;157,07;100;0;100;7.426,62;0;7.421,46;182,91;0;182,05;100;0;99,93;8.087,78;0;8.087,78;178,67;0;177,98;100;0;100
04. Salamanca;046. Castellana;6.908,64;0;6.908,64;213,77;0;213,77;100;0;100;7.975,95;12.179,46;7.154,95;236,98;418,02;206;100;152,7;89,71;7.487,38;0;7.050,17;215,06;0;197,37;100;0;94,16;6.933,03;0;6.904,58;190,39;0;189,23;100;0;99,59;7.757,61;0;7.613,09;198,89;0;191,95;100;0;98,14;8.983,97;0;8.930,54;221,26;0;219,07;100;0;99,41;9.792,99;0;9.792,99;216,34;0;215,5;100;0;100
