;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
11. Carabanchel;11. Carabanchel;1.979,46;2.150,63;1.944,43;61,25;66,54;60,16;100;108,65;98,23;2.178,48;2.290,74;2.156,29;64,73;78,62;62,08;100;105,15;98,98;2.352,41;2.543,97;2.306,54;67,57;80,09;64,57;100;108,14;98,05;2.335,49;2.344,28;2.333,45;64,13;64,91;63,95;100;100,38;99,91;2.454,64;2.879,41;2.389,46;62,93;81,15;60,25;100;117,3;97,34;2.480,02;2.899,15;2.425,38;61,08;72,89;59,5;100;116,9;97,8;2.831,45;3.408,28;2.720,33;62,55;76,72;59,86;100;120,37;96,08
11. Carabanchel;111. Comillas;2.307,17;2.258,67;2.320,67;71,39;69,89;71,81;100;97,9;100,59;2.503,79;0;2.499,15;74,39;0;71,95;100;0;99,81;2.756,18;3.368,08;2.593,01;79,16;106,03;72,59;100;122,2;94,08;2.658,56;2.778,05;2.624,75;73,01;76,92;71,94;100;104,49;98,73;2.838,59;2.831,18;2.839,48;72,78;79,79;71,59;100;99,74;100,03;2.781,64;2.685,65;2.790,07;68,51;67,52;68,44;100;96,55;100,3;3.309,39;0;3.310,50;73,11;0;72,85;100;0;100,03
11. Carabanchel;112. Opañel;2.052,60;2.377,57;1.983,76;63,51;73,57;61,38;100;115,83;96,65;2.278,29;2.563,37;2.223,60;67,69;87,98;64,02;100;112,51;97,6;2.532,89;2.838,08;2.428,42;72,75;89,35;67,98;100;112,05;95,88;2.433,51;2.463,19;2.418,67;66,83;68,2;66,29;100;101,22;99,39;2.500,72;3.153,49;2.344,68;64,11;88,87;59,12;100;126,1;93,76;2.468,48;2.866,40;2.413,89;60,79;72,07;59,21;100;116,12;97,79;2.821,21;4.000,79;2.696,82;62,32;90,06;59,35;100;141,81;95,59
11. Carabanchel;113. San Isidro;2.116,27;2.579,39;2.034,54;65,48;79,81;62,95;100;121,88;96,14;2.211,32;2.431,20;2.162,99;65,7;83,44;62,27;100;109,94;97,81;2.554,98;2.555,38;2.554,90;73,39;80,45;71,53;100;100,02;100;2.473,89;2.329,08;2.495,53;67,93;64,49;68,39;100;94,15;100,87;2.630,78;3.122,07;2.542,48;67,45;87,99;64,11;100;118,67;96,64;2.600,56;2.685,26;2.590,40;64,05;67,51;63,54;100;103,26;99,61;3.094,47;3.249,14;3.071,40;68,36;73,14;67,59;100;105;99,25
11. Carabanchel;114. Vista Alegre;1.865,71;1.974,24;1.857,10;57,73;61,09;57,46;100;105,82;99,54;2.128,06;2.235,40;2.119,90;63,23;76,72;61,03;100;105,04;99,62;2.122,10;0;2.104,37;60,95;0;58,91;100;0;99,16;2.193,55;2.246,68;2.187,57;60,24;62,2;59,95;100;102,42;99,73;2.236,79;2.465,82;2.224,24;57,35;69,49;56,08;100;110,24;99,44;2.443,73;2.898,53;2.412,23;60,18;72,88;59,17;100;118,61;98,71;2.587,19;2.817,49;2.574,82;57,15;63,42;56,66;100;108,9;99,52
11. Carabanchel;115. Puerta Bonita;1.743,88;1.860,81;1.716,99;53,96;57,58;53,13;100;106,71;98,46;1.987,58;2.132,15;1.955,29;59,06;73,18;56,3;100;107,27;98,38;2.054,07;2.265,72;1.932,38;59;71,33;54,1;100;110,3;94,08;2.054,57;2.126,33;2.036,83;56,42;58,87;55,82;100;103,49;99,14;2.125,93;2.498,15;2.057,15;54,51;70,4;51,87;100;117,51;96,76;2.196,36;2.322,59;2.182,20;54,09;58,4;53,53;100;105,75;99,36;2.425,96;2.694,69;2.376,96;53,59;60,66;52,31;100;111,08;97,98
11. Carabanchel;116. Buenavista;2.058,58;2.014,17;2.078,52;63,7;62,32;64,31;100;97,84;100,97;2.306,07;2.207,33;2.353,15;68,52;75,76;67,75;100;95,72;102,04;2.355,22;2.336,41;2.364,09;67,65;73,55;66,18;100;99,2;100,38;2.365,26;2.278,65;2.396,91;64,95;63,09;65,69;100;96,34;101,34;2.637,71;2.896,09;2.579,30;67,63;81,62;65,03;100;109,8;97,79;2.678,66;3.299,26;2.485,94;65,97;82,95;60,98;100;123,17;92,81;3.180,34;3.705,93;2.864,42;70,26;83,42;63,03;100;116,53;90,07
11. Carabanchel;117. Abrantes;1.774,53;1.898,12;1.755,80;54,91;58,73;54,33;100;106,96;98,94;1.901,37;0;1.895,42;56,49;0;54,57;100;0;99,69;1.951,76;0;1.935,95;56,06;0;54,2;100;0;99,19;2.013,23;0;2.018,02;55,28;0;55,31;100;0;100,24;2.210,36;0;2.207,95;56,67;0;55,67;100;0;99,89;2.130,72;2.304,80;2.120,80;52,48;57,95;52,02;100;108,17;99,53;2.385,79;2.379,75;2.386,21;52,71;53,57;52,51;100;99,75;100,02
12. Usera;12. Usera;1.722,97;1.661,17;1.789,41;53,31;51,4;55,37;100;96,41;103,86;1.896,40;1.800,60;1.935,18;56,35;61,8;55,72;100;94,95;102,04;2.323,82;2.672,15;1.945,22;66,75;84,12;54,46;100;114,99;83,71;2.065,27;2.163,37;2.040,74;56,71;59,9;55,93;100;104,75;98,81;2.183,17;2.477,78;2.147,55;55,97;69,83;54,15;100;113,49;98,37;2.303,88;2.492,68;2.288,84;56,74;62,67;56,15;100;108,19;99,35;2.516,33;2.800,69;2.495,19;55,59;63,04;54,91;100;111,3;99,16
12. Usera;121. Orcasitas;1.613,76;1.619,94;1.603,47;49,93;50,12;49,61;100;100,38;99,36;1.750,82;1.546,92;1.828,99;52,02;53,09;52,66;100;88,35;104,46;1.747,23;0;1.793,55;50,18;0;50,21;100;0;102,65;1.865,41;0;1.953,69;51,23;0;53,54;100;0;104,73;1.654,28;0;1.658,74;42,41;0;41,82;100;0;100,27;1.758,15;0;1.758,15;43,3;0;43,13;100;0;100;2.022,97;0;2.021,88;44,69;0;44,49;100;0;99,95
12. Usera;122. Orcasur;1.589,99;1.395,23;2.198,64;49,2;43,17;68,03;100;87,75;138,28;1.678,25;1.613,24;1.723,88;49,86;55,37;49,63;100;96,13;102,72;1.761,21;1.720,47;1.776,26;50,59;54,16;49,73;100;97,69;100,85;1.909,23;0;1.979,26;52,43;0;54,25;100;0;103,67;2.850,80;0;2.798,73;73,09;0;70,57;100;0;98,17;0;0;0;0;0;0;100;0;0;2.855,32;0;2.871,15;63,08;0;63,18;100;0;100,55
12. Usera;123. San Fermín;1.652,42;0;1.653,63;51,13;0;51,17;100;0;100,07;1.851,29;0;1.853,25;55,01;0;53,36;100;0;100,11;1.941,35;0;1.911,57;55,76;0;53,52;100;0;98,47;1.876,29;0;1.866,17;51,52;0;51,15;100;0;99,46;2.044,48;0;2.047,99;52,42;0;51,64;100;0;100,17;2.036,52;0;2.040,50;50,16;0;50,05;100;0;100,2;2.317,21;0;2.309,45;51,19;0;50,82;100;0;99,67
12. Usera;124. Almendrales;1.879,19;1.596,21;2.297,50;58,15;49,39;71,09;100;84,94;122,26;2.023,67;1.777,67;2.146,67;60,13;61,01;61,81;100;87,84;106,08;2.738,97;2.882,75;2.040,64;78,67;90,75;57,13;100;105,25;74,5;2.561,77;2.851,57;2.451,06;70,35;78,95;67,18;100;111,31;95,68;2.409,57;0;2.293,63;61,78;0;57,83;100;0;95,19;2.687,09;2.659,23;2.691,87;66,18;66,86;66,03;100;98,96;100,18;2.915,03;0;2.930,51;64,4;0;64,49;100;0;100,53
12. Usera;125. Moscardó;1.850,22;1.779,16;1.958,46;57,25;55,05;60,6;100;96,16;105,85;2.059,12;1.924,17;2.117,73;61,18;66,04;60,97;100;93,45;102,85;2.033,62;1.859,42;2.089,54;58,41;58,54;58,5;100;91,43;102,75;2.131,12;2.104,90;2.138,68;58,52;58,28;58,61;100;98,77;100,35;2.379,49;2.544,47;2.346,49;61,01;71,71;59,16;100;106,93;98,61;2.700,19;2.680,85;2.702,17;66,5;67,4;66,29;100;99,28;100,07;2.786,36;0;2.752,89;61,55;0;60,58;100;0;98,8
12. Usera;126. Zofío;1.667,48;0;1.673,28;51,6;0;51,77;100;0;100,35;1.990,79;0;1.918,90;59,15;0;55,25;100;0;96,39;1.920,80;1.942,41;1.908,88;55,17;61,15;53,44;100;101,13;99,38;1.755,15;0;1.779,19;48,2;0;48,76;100;0;101,37;2.107,67;0;2.095,48;54,04;0;52,83;100;0;99,42;2.103,87;0;2.091,53;51,81;0;51,31;100;0;99,41;2.488,09;0;2.406,42;54,97;0;52,96;100;0;96,72
12. Usera;127. Pradolongo;1.644,78;1.721,44;1.329,35;50,89;53,26;41,13;100;104,66;80,82;1.862,41;1.842,83;1.879,58;55,34;63,25;54,12;100;98,95;100,92;1.940,20;1.864,80;1.967,73;55,73;58,71;55,09;100;96,11;101,42;1.871,77;1.860,91;1.875,16;51,4;51,52;51,39;100;99,42;100,18;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;2.231,88;0;2.381,69;49,31;0;52,41;100;0;0
13. Puente de Vallecas;13. Puente de Vallecas;1.637,04;1.617,61;1.644,77;50,65;50,05;50,89;100;98,81;100,47;1.841,52;1.826,79;1.846,07;54,72;62,7;53,15;100;99,2;100,25;1.908,39;1.888,57;1.914,69;54,81;59,45;53,6;100;98,96;100,33;1.908,50;1.859,65;1.925,15;52,41;51,49;52,76;100;97,44;100,87;2.110,69;2.196,98;2.081,79;54,11;61,92;52,49;100;104,09;98,63;2.146,86;2.181,35;2.136,70;52,87;54,84;52,41;100;101,61;99,53;2.444,16;2.463,26;2.439,69;53,99;55,45;53,69;100;100,78;99,82
13. Puente de Vallecas;131. Entrevías;1.386,87;1.453,86;1.310,91;42,91;44,99;40,56;100;104,83;94,52;1.660,40;1.692,83;1.634,26;49,33;58,1;47,05;100;101,95;98,43;1.712,29;1.559,26;1.835,46;49,18;49,09;51,38;100;91,06;107,19;1.735,19;1.704,96;1.765,16;47,65;47,21;48,38;100;98,26;101,73;1.826,99;1.761,14;1.884,60;46,84;49,63;47,52;100;96,4;103,15;1.963,83;1.942,03;1.984,68;48,37;48,83;48,68;100;98,89;101,06;2.138,82;2.155,32;2.125,59;47,25;48,52;46,78;100;100,77;99,38
13. Puente de Vallecas;132. San Diego;1.652,30;1.637,47;1.659,41;51,13;50,67;51,35;100;99,1;100,43;1.930,50;1.874,60;1.960,52;57,36;64,34;56,45;100;97,1;101,56;1.953,47;1.822,36;2.022,03;56,11;57,37;56,61;100;93,29;103,51;2.014,65;1.868,34;2.070,82;55,32;51,73;56,75;100;92,74;102,79;2.143,48;2.077,40;2.172,96;54,96;58,55;54,79;100;96,92;101,38;2.278,05;2.424,44;2.206,35;56,1;60,96;54,12;100;106,43;96,85;2.508,13;2.629,51;2.452,35;55,41;59,19;53,97;100;104,84;97,78
13. Puente de Vallecas;133. Palomeras Bajas;1.761,74;1.840,48;1.743,54;54,51;56,95;53,95;100;104,47;98,97;1.870,45;1.884,46;1.867,30;55,57;64,68;53,76;100;100,75;99,83;1.963,09;1.962,93;1.963,13;56,38;61,8;54,96;100;99,99;100;1.995,50;1.901,85;2.016,56;54,8;52,66;55,27;100;95,31;101,06;2.128,24;2.072,97;2.138,83;54,56;58,42;53,93;100;97,4;100,5;2.200,42;1.928,70;2.247,10;54,19;48,49;55,12;100;87,65;102,12;2.487,89;2.387,19;2.503,51;54,96;53,73;55,09;100;95,95;100,63
13. Puente de Vallecas;134. Palomeras Sureste;1.592,74;1.710,60;1.545,79;49,28;52,93;47,83;100;107,4;97,05;1.648,98;1.668,94;1.645,75;48,99;57,28;47,38;100;101,21;99,8;1.748,82;1.779,87;1.743,52;50,23;56,03;48,81;100;101,78;99,7;1.832,09;1.999,01;1.760,26;50,31;55,35;48,24;100;109,11;96,08;2.148,95;2.745,61;1.850,62;55,1;77,38;46,66;100;127,77;86,12;1.994,56;2.506,02;1.937,92;49,12;63,01;47,54;100;125,64;97,16;2.245,45;2.310,02;2.239,13;49,61;52;49,27;100;102,88;99,72
13. Puente de Vallecas;135. Portazgo;1.560,24;1.518,38;1.573,61;48,28;46,98;48,69;100;97,32;100,86;1.773,79;1.825,04;1.757,68;52,7;62,64;50,61;100;102,89;99,09;1.792,21;1.855,75;1.778,40;51,48;58,42;49,79;100;103,55;99,23;1.827,73;1.858,79;1.823,12;50,19;51,46;49,97;100;101,7;99,75;2.061,83;2.134,75;2.053,84;52,86;60,16;51,78;100;103,54;99,61;2.039,79;1.990,73;2.048,91;50,24;50,05;50,26;100;97,59;100,45;2.313,93;2.103,77;2.344,09;51,12;47,35;51,58;100;90,92;101,3
13. Puente de Vallecas;136. Numancia;1.756,26;1.659,02;1.777,46;54,34;51,33;55;100;94,46;101,21;2.003,37;1.972,02;2.008,42;59,52;67,68;57,82;100;98,44;100,25;2.106,40;2.486,26;2.023,55;60,5;78,27;56,65;100;118,03;96,07;1.933,99;1.867,47;1.944,20;53,11;51,7;53,28;100;96,56;100,53;2.194,78;2.222,00;2.191,41;56,27;62,62;55,25;100;101,24;99,85;2.232,74;1.999,76;2.261,13;54,99;50,28;55,47;100;89,57;101,27;2.730,31;3.159,85;2.693,13;60,32;71,13;59,26;100;115,73;98,64
14. Moratalaz;14. Moratalaz;2.321,59;2.293,25;2.322,99;71,83;70,96;71,88;100;98,78;100,06;2.551,94;2.164,59;2.575,81;75,82;74,29;74,16;100;84,82;100,94;2.499,60;2.212,88;2.512,63;71,79;69,66;70,34;100;88,53;100,52;2.593,33;2.616,53;2.591,61;71,21;72,44;71,03;100;100,89;99,93;2.767,30;2.736,54;2.769,45;70,95;77,12;69,83;100;98,89;100,08;2.837,45;2.905,33;2.834,41;69,88;73,05;69,53;100;102,39;99,89;3.174,38;3.103,22;3.177,11;70,13;69,85;69,91;100;97,76;100,09
14. Moratalaz;141. Pavones;2.148,76;0;2.169,63;66,49;0;67,13;100;0;100,97;1.997,15;0;2.035,41;59,34;0;58,6;100;0;101,92;2.225,09;0;2.225,09;63,91;0;62,29;100;0;100;2.117,70;0;2.138,13;58,15;0;58,6;100;0;100,96;2.357,79;0;2.346,06;60,45;0;59,15;100;0;99,5;2.525,56;0;2.561,32;62,2;0;62,83;100;0;101,42;2.815,40;0;2.815,40;62,2;0;61,95;100;0;100
14. Moratalaz;142. Horcajo;3.199,22;0;3.098,05;98,99;0;95,86;100;0;96,84;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;3.376,86;0;0;92,73;0;0;100;0;0;3.648,54;0;3.600,48;93,54;0;90,78;100;0;2,33;3.687,51;0;3.687,51;90,82;0;90,46;100;0;2,23;4.665,30;0;0;103,06;0;0;100;0;0
14. Moratalaz;143. Marroquina;2.641,81;0;2.669,81;81,74;0;82,61;100;0;101,06;2.902,56;0;2.910,60;86,24;0;83,8;100;0;100,28;2.783,03;0;2.809,26;79,94;0;78,65;100;0;100,94;2.927,88;0;2.923,87;80,4;0;80,13;100;0;99,86;3.143,33;0;3.146,44;80,59;0;79,33;100;0;100,1;3.152,65;0;3.135,16;77,64;0;76,91;100;0;99,45;3.490,79;0;3.496,68;77,12;0;76,95;100;0;100,17
14. Moratalaz;144. Media Legua;2.228,93;0;2.228,49;68,97;0;68,95;100;0;99,98;2.606,90;0;2.611,52;77,46;0;75,19;100;0;100,18;2.619,85;0;2.620,84;75,25;0;73,37;100;0;100,04;2.633,99;0;2.642,52;72,33;0;72,42;100;0;100,32;2.904,81;0;2.912,34;74,47;0;73,43;100;0;100,26;2.831,98;0;2.791,41;69,75;0;68,47;100;0;98,57;3.283,15;0;3.288,27;72,53;0;72,36;100;0;100,16
14. Moratalaz;145. Fontarrón;2.072,53;0;2.090,53;64,13;0;64,69;100;0;100,87;2.285,44;0;2.306,92;67,91;0;66,42;100;0;100,94;2.175,53;0;2.180,95;62,49;0;61,06;100;0;100,25;2.232,85;0;2.242,48;61,32;0;61,46;100;0;100,43;2.509,27;0;2.535,40;64,33;0;63,93;100;0;101,04;2.617,66;0;2.647,15;64,47;0;64,94;100;0;101,13;2.790,09;0;2.799,48;61,64;0;61,6;100;0;100,34
14. Moratalaz;146. Vinateros;2.177,14;0;2.162,89;67,36;0;66,92;100;0;99,35;2.367,34;0;2.375,10;70,34;0;68,38;100;0;100,33;2.405,58;0;2.419,57;69,09;0;67,74;100;0;100,58;2.474,83;0;2.485,77;67,96;0;68,13;100;0;100,44;2.544,08;0;2.529,71;65,23;0;63,78;100;0;99,44;2.655,00;0;2.647,45;65,39;0;64,94;100;0;99,72;3.003,98;0;3.018,61;66,36;0;66,43;100;0;100,49
15. Ciudad Lineal;15. Ciudad Lineal;2.853,33;2.950,59;2.848,20;88,29;91,3;88,13;100;103,41;99,82;3.188,41;3.378,93;3.176,63;94,73;115,97;91,46;100;105,98;99,63;3.154,24;3.483,00;3.129,40;90,6;109,65;87,61;100;110,42;99,21;3.177,85;3.662,72;3.159,66;87,27;101,41;86,6;100;115,26;99,43;3.511,66;4.167,45;3.466,90;90,03;117,45;87,41;100;118,67;98,73;3.559,90;3.859,47;3.539,48;87,67;97,04;86,82;100;108,42;99,43;4.001,36;5.743,28;3.886,63;88,4;129,28;85,53;100;143,53;97,13
15. Ciudad Lineal;151. Ventas;2.411,23;2.690,48;2.386,41;74,61;83,25;73,84;100;111,58;98,97;2.717,39;3.125,73;2.645,46;80,74;107,28;76,17;100;115,03;97,35;2.762,80;3.439,53;2.651,96;79,35;108,28;74,24;100;124,49;95,99;2.734,37;3.337,59;2.682,45;75,09;92,41;73,52;100;122,06;98,1;2.995,68;3.841,24;2.917,55;76,8;108,25;73,56;100;128,23;97,39;3.020,43;3.104,76;3.008,56;74,39;78,06;73,8;100;102,79;99,61;3.325,00;3.060,80;3.340,04;73,45;68,9;73,5;100;92,05;100,45
15. Ciudad Lineal;152. Pueblo Nuevo;2.261,21;2.317,93;2.257,47;69,97;71,72;69,85;100;102,51;99,83;2.433,13;2.785,36;2.422,36;72,29;95,6;69,74;100;114,48;99,56;2.505,02;2.757,11;2.488,34;71,95;86,8;69,66;100;110,06;99,33;2.598,24;2.802,20;2.591,16;71,35;77,58;71,02;100;107,85;99,73;2.946,90;4.002,30;2.834,40;75,55;112,79;71,47;100;135,81;96,18;2.861,24;2.956,76;2.856,98;70,47;74,34;70,08;100;103,34;99,85;3.114,00;0;3.116,50;68,79;0;68,58;100;0;100,08
15. Ciudad Lineal;153. Quintana;2.683,15;0;2.683,15;83,02;0;83,02;100;0;100;3.144,46;0;3.144,46;93,43;0;90,53;100;0;100;3.221,55;0;3.221,55;92,53;0;90,19;100;0;100;3.153,58;0;3.153,58;86,6;0;86,43;100;0;100;3.401,96;0;3.350,61;87,22;0;84,48;100;0;98,49;3.549,06;4.536,56;3.468,81;87,41;114,06;85,09;100;127,82;97,74;3.860,46;0;3.834,54;85,28;0;84,38;100;0;99,33
15. Ciudad Lineal;154. La Concepción;3.546,02;0;3.527,32;109,72;0;109,14;100;0;99,47;4.002,51;0;3.990,49;118,92;0;114,89;100;0;99,7;3.753,90;0;3.729,19;107,82;0;104,4;100;0;99,34;3.710,07;0;3.710,07;101,88;0;101,68;100;0;100;4.069,36;0;4.072,26;104,33;0;102,68;100;0;100,07;4.474,03;0;4.474,03;110,19;0;109,75;100;0;100;4.859,00;0;4.829,84;107,34;0;106,28;100;0;99,4
15. Ciudad Lineal;155. San Pascual;3.787,03;0;3.776,42;117,18;0;116,85;100;0;99,72;4.139,15;0;4.139,15;122,98;0;119,17;100;0;100;4.252,92;0;4.223,57;122,15;0;118,24;100;0;99,31;3.834,00;0;3.830,84;105,28;0;104,99;100;0;99,92;4.257,74;0;4.257,74;109,16;0;107,35;100;0;100;4.374,19;0;4.374,19;107,73;0;107,3;100;0;100;4.738,42;0;4.697,17;104,68;0;103,36;100;0;99,13
15. Ciudad Lineal;156. San Juan Bautista;3.777,39;0;3.725,10;116,88;0;115,26;100;0;98,62;4.106,55;0;4.081,73;122,01;0;117,52;100;0;99,4;3.909,33;0;3.900,26;112,29;0;109,19;100;0;99,77;4.145,15;0;4.138,80;113,83;0;113,43;100;0;99,85;4.836,38;0;4.806,00;124;0;121,18;100;0;99,37;4.663,75;0;4.554,08;114,86;0;111,71;100;0;97,65;5.430,97;6.588,95;5.048,96;119,98;148,31;111,11;100;121,32;92,97
15. Ciudad Lineal;157. Colina;4.002,10;0;3.937,41;123,83;0;121,83;100;0;98,38;4.259,03;0;4.298,73;126,54;0;123,77;100;0;100,93;4.544,25;0;4.556,30;130,52;0;127,56;100;0;100,27;4.219,16;0;4.045,47;115,86;0;110,87;100;0;95,88;4.920,05;0;4.711,88;126,14;0;118,8;100;0;95,77;5.025,68;0;4.828,50;123,77;0;118,44;100;0;96,08;5.770,88;6.683,42;5.294,19;127,49;150,44;116,5;100;115,81;91,74
15. Ciudad Lineal;158. Atalaya;4.566,83;0;4.566,83;141,31;0;141,31;100;0;100;4.973,31;0;4.735,47;147,77;0;136,34;100;0;95,22;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;5.625,30;0;5.625,30;144,22;0;141,83;100;0;100;5.327,85;0;5.373,16;131,22;0;131,81;100;0;100,85;5.759,98;0;5.785,51;127,25;0;127,31;100;0;100,44
15. Ciudad Lineal;159. Costillares;3.798,47;0;3.828,79;117,53;0;118,47;100;0;100,8;4.158,38;0;4.199,32;123,55;0;120,9;100;0;100,98;4.400,22;0;4.404,30;126,38;0;123,3;100;0;100,09;4.225,62;0;4.168,76;116,04;0;114,25;100;0;98,65;4.692,53;3.960,71;4.766,64;120,31;111,62;120,18;100;84,4;101,58;4.574,53;0;4.562,36;112,66;0;111,92;100;0;99,73;5.471,11;7.015,50;5.154,94;120,86;157,91;113,44;100;128,23;94,22
16. Hortaleza;16. Hortaleza;3.307,99;3.016,09;3.539,82;102,36;93,32;109,53;100;91,18;107,01;3.304,06;3.279,43;3.318,30;98,17;112,56;95,54;100;99,25;100,43;3.412,21;2.922,26;3.582,75;98,01;92;100,3;100;85,64;105;3.851,04;4.055,65;3.651,10;105,75;112,29;100,06;100;105,31;94,81;3.920,20;3.820,86;3.974,96;100,51;107,68;100,22;100;97,47;101,4;4.161,19;4.789,20;3.957,52;102,48;120,41;97,08;100;115,09;95,11;4.446,27;5.093,12;4.249,48;98,22;114,64;93,51;100;114,55;95,57
16. Hortaleza;161. Palomas;3.943,41;0;3.936,34;122,02;0;121,8;100;0;99,82;4.219,48;0;4.222,62;125,37;0;121,57;100;0;100,07;3.931,51;0;4.414,13;112,92;0;123,58;100;0;112,28;4.163,92;0;4.230,44;114,34;0;115,94;100;0;101,6;3.990,82;2.730,04;4.403,00;102,32;76,94;111,02;100;68,41;110,33;5.139,42;0;5.139,42;126,58;0;126,07;100;0;100;4.816,65;0;4.816,65;106,41;0;105,99;100;0;100
16. Hortaleza;162. Piovera;4.611,77;4.285,96;4.698,65;142,7;132,62;145,39;100;92,94;101,88;4.733,19;0;4.728,02;140,63;0;136,13;100;0;99,89;4.904,19;0;4.915,72;140,86;0;137,62;100;0;100,24;5.016,52;0;5.044,03;137,76;0;138,24;100;0;100,55;5.397,85;0;5.395,07;138,39;0;136,03;100;0;99,95;5.811,22;6.093,65;5.498,16;143,12;153,21;134,87;100;104,86;94,61;5.759,74;6.052,31;5.686,60;127,24;136,23;125,14;100;105,08;98,73
16. Hortaleza;163. Canillas;3.137,68;0;3.138,51;97,09;0;97,11;100;0;100,03;3.298,16;0;3.280,84;98;0;94,46;100;0;99,47;3.354,60;0;3.297,51;96,35;0;92,31;100;0;98,3;3.483,42;0;3.438,11;95,66;0;94,23;100;0;98,7;3.629,84;0;3.633,94;93,06;0;91,62;100;0;100,11;3.718,95;0;3.729,12;91,59;0;91,48;100;0;100,27;3.972,21;4.235,82;3.934,40;87,75;95,35;86,58;100;106,64;99,05
16. Hortaleza;164. Pinar del Rey;2.720,43;2.833,76;2.699,23;84,18;87,68;83,52;100;104,17;99,22;2.748,42;3.003,26;2.724,67;81,66;103,08;78,45;100;109,27;99,14;2.955,26;2.930,29;2.960,68;84,88;92,25;82,89;100;99,16;100,18;3.040,79;3.123,21;3.023,89;83,5;86,47;82,88;100;102,71;99,44;3.223,52;3.377,81;3.183,03;82,65;95,19;80,26;100;104,79;98,74;3.268,81;3.335,01;3.258,76;80,51;83,85;79,94;100;102,03;99,69;3.481,80;3.745,07;3.426,85;76,92;84,3;75,41;100;107,56;98,42
16. Hortaleza;165. Apóstol Santiago;2.521,96;0;2.519,39;78,03;0;77,95;100;0;99,9;3.151,26;0;3.143,51;93,63;0;90,51;100;0;99,75;3.787,62;0;3.642,94;108,79;0;101,99;100;0;96,18;2.741,61;0;2.879,64;75,29;0;78,92;100;0;105,03;3.461,16;0;3.538,46;88,74;0;89,22;100;0;102,23;2.960,40;0;2.981,74;72,91;0;73,14;100;0;100,72;3.687,85;0;3.652,77;81,47;0;80,38;100;0;99,05
16. Hortaleza;166. Valdefuentes;3.465,62;2.992,55;4.627,26;107,23;92,6;143,18;100;86,35;133,52;3.487,54;3.271,61;4.176,52;103,62;112,29;120,25;100;93,81;119,76;3.364,21;2.700,66;4.045,57;96,63;85,02;113,26;100;80,28;120,25;4.210,50;4.150,43;4.452,91;115,62;114,91;122,04;100;98,57;105,76;4.162,66;3.921,35;4.421,92;106,72;110,51;111,49;100;94,2;106,23;4.533,78;4.628,01;4.475,92;111,66;116,36;109,8;100;102,08;98,72;5.338,82;5.661,44;5.125,19;117,94;127,44;112,78;100;106,04;96
