E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024
;;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2
Ciudad de Madrid;Ciudad de Madrid;38.330;3.431;9.718;9.633;6.262;9.286;34.754;3.158;9.079;8.374;5.525;8.618;25.332;2.040;5.929;6.254;4.335;6.774;35.436;2.751;8.570;8.599;6.239;9.277;40.723;3.437;10.318;10.155;6.665;10.148;35.035;3.160;9.469;8.798;5.916;7.692;37.479;3.542;9.837;9.392;6.223;8.485
14. Moratalaz;141. Pavones;72;0;20;13;32;7;57;0;27;5;21;4;42;0;10;9;19;4;69;1;20;15;26;7;74;0;24;19;28;3;58;0;19;17;19;3;57;0;19;12;21;5
14. Moratalaz;142. Horcajo;23;0;5;7;3;8;15;0;0;3;9;3;9;0;0;1;6;2;24;0;1;9;7;7;23;0;0;5;10;8;20;0;0;6;7;7;17;0;0;4;9;4
14. Moratalaz;143. Marroquina;147;5;52;18;52;20;157;3;40;12;76;26;138;0;44;7;66;21;204;0;54;11;97;42;212;0;67;14;93;38;183;0;52;5;95;31;188;6;45;12;96;29
14. Moratalaz;144. Media Legua;144;1;47;45;29;22;133;0;53;30;26;24;105;0;41;27;24;13;160;1;46;48;23;42;198;0;76;52;33;37;122;0;32;38;28;24;134;0;48;30;21;35
14. Moratalaz;145. Fontarrón;189;0;63;89;20;17;172;0;77;65;22;8;127;0;45;57;19;6;187;0;78;70;27;12;257;0;97;93;47;20;158;1;74;55;23;5;184;0;57;89;23;15
14. Moratalaz;146. Vinateros;153;0;53;55;38;7;130;0;38;48;41;3;113;0;37;43;28;5;182;1;44;60;69;8;190;0;36;79;69;6;160;0;47;67;43;3;171;0;41;66;52;12
15. Ciudad Lineal;15. Ciudad Lineal;2.426;101;831;828;322;344;2.092;121;790;665;261;255;1.502;85;524;489;210;194;2.343;99;855;837;268;284;2.981;165;1.059;973;398;386;2.550;174;901;828;324;323;2.707;177;966;827;354;383
15. Ciudad Lineal;151. Ventas;582;22;242;248;31;39;519;34;214;209;38;24;348;14;143;141;33;17;538;23;207;244;41;23;730;35;305;302;61;27;599;42;238;251;43;25;593;54;258;218;30;33
15. Ciudad Lineal;152. Pueblo Nuevo;694;38;267;244;96;49;578;38;247;193;74;26;496;34;180;182;70;30;650;33;231;263;80;43;866;54;300;304;130;78;774;55;280;270;107;62;760;50;278;266;113;53
15. Ciudad Lineal;153. Quintana;319;11;114;130;50;14;264;19;117;90;22;16;182;16;69;64;23;10;352;15;147;134;35;21;404;19;157;158;49;21;346;32;127;121;45;21;336;25;131;125;41;14
