E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.1. Transacciones de vivienda por Distrito y Barrio según Tipo
;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024
;;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas
Ciudad de Madrid;Ciudad de Madrid;38.330;8.362;7.412;950;29.968;34.754;7.175;6.414;761;27.579;25.332;6.070;5.287;783;19.262;35.436;7.668;6.371;1.297;27.768;40.723;6.700;6.003;697;34.023;35.035;6.334;5.847;487;28.701;37.479;6.533;6.137;396;30.946
05. Chamartín;055. Nueva España;202;3;3;0;199;217;6;5;1;211;156;4;4;0;152;193;1;1;0;192;480;16;16;0;464;186;26;26;0;160;224;18;17;1;206
05. Chamartín;056. Castilla;142;29;28;1;113;125;4;4;0;121;113;16;16;0;97;152;11;11;0;141;200;11;11;0;189;149;4;4;0;145;175;7;6;1;168
06. Tetuán;06. Tetuán;2.475;288;181;107;2.187;2.148;206;195;11;1.942;1.629;243;231;12;1.386;2.085;244;243;1;1.841;2.351;289;287;2;2.062;2.200;519;491;28;1.681;2.339;498;472;26;1.841
06. Tetuán;061. Bellas Vistas;463;4;4;0;459;337;0;0;0;337;223;0;0;0;223;351;36;36;0;315;423;34;34;0;389;230;5;5;0;225;419;42;41;1;377
06. Tetuán;062. Cuatro Caminos;484;16;16;0;468;511;11;11;0;500;347;42;42;0;305;462;5;5;0;457;460;9;9;0;451;416;20;20;0;396;464;59;57;2;405
06. Tetuán;063. Castillejos;282;4;4;0;278;272;12;12;0;260;179;0;0;0;179;299;0;0;0;299;366;0;0;0;366;289;5;5;0;284;322;26;24;2;296
06. Tetuán;064. Almenara;570;168;62;106;402;290;40;30;10;250;314;54;47;7;260;238;22;22;0;216;318;87;86;1;231;303;56;28;28;247;284;108;87;21;176
06. Tetuán;065. Valdeacederas;373;65;64;1;308;396;100;99;1;296;342;120;115;5;222;388;107;106;1;281;404;111;110;1;293;693;399;399;0;294;456;166;166;0;290
06. Tetuán;066. Berruguete;303;31;31;0;272;342;43;43;0;299;224;27;27;0;197;347;74;74;0;273;380;48;48;0;332;269;34;34;0;235;394;97;97;0;297
07. Chamberí;07. Chamberí;1.931;79;79;0;1.852;1.692;21;21;0;1.671;1.153;35;35;0;1.118;1.908;62;62;0;1.846;2.068;74;74;0;1.994;1.846;152;152;0;1.694;1.898;63;63;0;1.835
07. Chamberí;071. Gaztambide;313;4;4;0;309;273;4;4;0;269;235;2;2;0;233;294;2;2;0;292;362;3;3;0;359;260;3;3;0;257;367;26;26;0;341
07. Chamberí;072. Arapiles;366;20;20;0;346;293;2;2;0;291;224;15;15;0;209;325;0;0;0;325;334;3;3;0;331;312;25;25;0;287;279;0;0;0;279
07. Chamberí;073. Trafalgar;396;4;4;0;392;350;2;2;0;348;189;1;1;0;188;425;3;3;0;422;441;3;3;0;438;376;0;0;0;376;410;4;4;0;406
07. Chamberí;074. Almagro;253;6;6;0;247;245;5;5;0;240;157;1;1;0;156;280;8;8;0;272;297;6;6;0;291;310;34;34;0;276;304;9;9;0;295
07. Chamberí;075. Ríos Rosas;394;45;45;0;349;329;6;6;0;323;204;10;10;0;194;381;46;46;0;335;400;58;58;0;342;380;54;54;0;326;299;13;13;0;286
07. Chamberí;076. Vallehermoso;209;0;0;0;209;202;2;2;0;200;144;6;6;0;138;199;3;3;0;196;234;1;1;0;233;208;36;36;0;172;239;11;11;0;228
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.270;869;800;69;1.401;2.092;813;743;70;1.279;1.569;549;494;55;1.020;2.431;849;771;78;1.582;2.537;753;624;129;1.784;2.033;660;549;111;1.373;2.154;628;526;102;1.526
08. Fuencarral-El Pardo;081. El Pardo;45;0;0;0;45;18;0;0;0;18;19;0;0;0;19;33;0;0;0;33;31;1;1;0;30;24;0;0;0;24;30;0;0;0;30
